Date,AAPL,ADBE,ADI,AMAT,AMD,AVGO,CDNS,CRM,IBM,INTC,KLAC,LRCX,MSFT,MU,NOW,NVDA,PANW,QCOM,SNPS,TXN
2023-02-21,146.3596649169922,346.70001220703125,176.5391845703125,108.31945037841797,76.7699966430664,55.601768493652344,192.64999389648438,159.67984008789062,118.82278442382812,25.435274124145508,368.5570983886719,46.3526496887207,247.38809204101562,56.77432632446289,86.37200164794922,20.63434600830078,83.44499969482422,115.5596694946289,352.3500061035156,156.00889587402344
2023-02-22,146.78350830078125,348.7200012207031,174.44125366210938,107.72429656982422,76.61000061035156,55.088348388671875,193.99000549316406,161.3989715576172,118.15519714355469,24.859418869018555,367.9823913574219,46.25088882446289,246.2523193359375,56.163204193115234,87.96800231933594,20.733245849609375,93.875,115.7932357788086,355.05999755859375,155.13182067871094
2023-02-23,147.2665252685547,347.0199890136719,176.23538208007812,110.1634750366211,79.75,55.81785583496094,196.6199951171875,162.14984130859375,117.9927978515625,24.996063232421875,378.3277282714844,47.03976058959961,249.44419860839844,57.907833099365234,88.34200286865234,23.64033317565918,94.37000274658203,117.89515686035156,365.4800109863281,156.97732543945312
2023-02-24,144.61495971679688,320.5400085449219,174.47103881835938,108.60240936279297,78.08999633789062,55.23941421508789,193.74000549316406,160.2528839111328,117.79431915283203,24.537328720092773,370.02801513671875,46.3836555480957,244.0101776123047,57.34600830078125,85.11799621582031,23.262714385986328,93.31500244140625,116.15755462646484,362.2799987792969,154.52883911132812
2023-02-27,145.80767822265625,322.32000732421875,174.69036865234375,109.34391021728516,78.7699966430664,55.975608825683594,193.17999267578125,161.18161010742188,117.72215270996094,24.303081512451172,369.2877197265625,46.781009674072266,244.93055725097656,57.07002258300781,85.71399688720703,23.477495193481445,94.25499725341797,115.29810333251953,363.3599853515625,155.99063110351562
2023-02-28,145.30496215820312,323.95001220703125,174.97650146484375,113.32466125488281,78.58000183105469,56.82081985473633,192.94000244140625,161.6459503173828,116.64859771728516,24.332365036010742,369.5702209472656,47.100826263427734,244.2060089111328,56.99115753173828,86.43399810791016,23.192779541015625,94.18499755859375,115.40086364746094,363.760009765625,156.6392822265625
2023-03-01,143.23495483398438,323.3800048828125,174.63314819335938,114.40767669677734,78.29000091552734,56.75197219848633,191.42999267578125,165.34107971191406,115.6471939086914,24.722774505615234,368.5570983886719,47.57666015625,241.12184143066406,56.51805114746094,85.78800201416016,22.6752986907959,93.47000122070312,116.24677276611328,361.0199890136719,157.29710388183594
2023-03-02,143.8263702392578,333.5,176.0446319580078,115.5687026977539,80.44000244140625,57.2376823425293,192.63999938964844,184.35011291503906,116.31478881835938,25.571918487548828,368.52789306640625,47.485565185546875,245.86068725585938,55.62109375,87.20800018310547,23.290681838989258,94.92500305175781,116.34076690673828,363.3800048828125,159.04208374023438
2023-03-03,148.8732452392578,344.0400085449219,177.62777709960938,116.0663070678711,81.5199966430664,60.49898147583008,196.5,184.19198608398438,116.955322265625,25.767122268676758,371.66461181640625,47.64740753173828,249.95327758789062,55.966068267822266,88.7959976196289,23.866107940673828,95.79499816894531,116.17158508300781,367.5,160.5038604736328
2023-03-06,151.63328552246094,347.0199890136719,176.93161010742188,115.65652465820312,81.16000366210938,60.5142822265625,197.39999389648438,181.59359741210938,117.45149993896484,25.36695098876953,369.8527526855469,47.024253845214844,251.50027465820312,56.015357971191406,89.2040023803711,23.530447006225586,93.95500183105469,115.05310821533203,368.7699890136719,158.10105895996094
2023-03-07,149.43511962890625,344.79998779296875,176.3784637451172,113.53932189941406,82.11000061035156,59.77138137817383,195.35000610351562,181.11935424804688,115.70132446289062,24.917980194091797,365.6931457519531,46.48542404174805,248.8371124267578,54.7635612487793,88.96199798583984,23.268659591674805,93.5999984741211,112.02661895751953,361.2799987792969,157.19659423828125
2023-03-08,150.6869659423828,345.8399963378906,177.9329833984375,115.76386260986328,85.37000274658203,60.45117950439453,199.3000030517578,180.75376892089844,115.52088928222656,25.35719108581543,377.392578125,47.81700897216797,248.3965301513672,56.074493408203125,89.39399719238281,24.160919189453125,94.19000244140625,113.91582489013672,369.0199890136719,160.99720764160156
2023-03-09,148.4395294189453,338.3699951171875,175.0623321533203,114.1930160522461,84.02999877929688,59.51991653442383,196.39999389648438,176.5745849609375,113.8158187866211,25.80616569519043,368.6836853027344,47.5146369934082,247.04541015625,54.80298614501953,85.69999694824219,23.41653823852539,92.20999908447266,110.17503356933594,361.9200134277344,158.45736694335938
2023-03-10,146.37936401367188,329.29998779296875,173.34564208984375,111.60747528076172,82.66999816894531,58.784671783447266,195.6699981689453,171.10105895996094,113.17529296875,26.567466735839844,358.0071716308594,46.40401077270508,243.3933563232422,54.1425895690918,83.01599884033203,22.9459285736084,92.8550033569336,108.26702880859375,355.2300109863281,156.8128662109375
2023-03-13,148.32127380371094,324.2699890136719,174.09910583496094,113.02220153808594,82.01000213623047,58.941471099853516,196.27000427246094,173.4031219482422,113.29257202148438,26.30394172668457,355.3866882324219,46.22763442993164,248.6119384765625,53.12736129760742,82.98600006103516,22.946928024291992,92.94999694824219,107.55270385742188,357.2900085449219,158.86849975585938
2023-03-14,150.41094970703125,333.3299865722656,177.9425506591797,117.41273498535156,87.44999694824219,60.47029113769531,203.52000427246094,180.6945037841797,112.45356750488281,27.338525772094727,369.2194519042969,48.04697036743164,255.3383026123047,53.49205780029297,84.90799713134766,24.04301643371582,92.23999786376953,109.54528045654297,369.8399963378906,160.549560546875
